First Dose,Second Dose,Total Doses,Male,Female,State,Vaccine
24681,4550,29231,16932,12299,Kerala,Sputnik
37245,4370,41615,15587,26028,Kerala,Sputnik
46050,13299,59349,15436,43913,Kerala,Sputnik
16144,37141,53285,40796,12489,Kerala,Sputnik
43888,32371,76259,28310,47949,Kerala,Sputnik
13300,23841,37141,30782,6359,Kerala,Sputnik
17511,22005,39516,25113,14403,Kerala,Sputnik
5883,17886,23769,20369,3400,Kerala,Sputnik
40792,44387,85179,61659,23520,Kerala,Sputnik
34572,10843,45415,25596,19819,Kerala,Sputnik
42458,50000,92458,12298,80160,Kerala,Sputnik
29412,40638,70050,33344,36706,Kerala,Sputnik
36147,7772,43919,5870,38049,Kerala,Sputnik
22834,24219,47053,18980,28073,Kerala,Sputnik
42023,5085,47108,7299,39809,Kerala,Sputnik
11725,12462,24187,19329,4858,Kerala,Sputnik
29204,43420,72624,6803,65821,Kerala,Sputnik
37953,44338,82291,23268,59023,Kerala,Sputnik
36608,9399,46007,41308,4699,Kerala,Sputnik
49028,12032,61060,38155,22905,Kerala,Sputnik
13272,3674,16946,16184,762,Kerala,Sputnik
37967,14076,52043,50250,1793,Kerala,Sputnik
46334,44647,90981,68689,22292,Kerala,Sputnik
13029,21418,34447,12439,22008,Kerala,Sputnik
18155,35397,53552,41316,12236,Kerala,Sputnik
47993,19725,67718,57737,9981,Kerala,Sputnik
2101,17910,20011,19846,165,Kerala,Sputnik
19460,2925,22385,17206,5179,Kerala,Sputnik
40478,10867,51345,9042,42303,Kerala,Covishield
11247,39805,51052,6680,44372,Kerala,Covishield
26447,44649,71096,70735,361,Kerala,Covishield
35368,25971,61339,58187,3152,Kerala,Covishield
34158,25545,59703,9820,49883,Telengana,Covishield
46136,35312,81448,25099,56349,Kerala,Covishield
23413,26675,50088,9685,40403,Delhi,Covishield
19824,3456,23280,5997,17283,Telengana,Covishield
33408,37626,71034,12136,58898,Rajasthan,Covishield
7818,42753,50571,15367,35204,Kerala,Covishield
18010,27156,45166,28788,16378,Delhi,Covishield
33335,43691,77026,15243,61783,Uttar Pradesh,Covishield
38568,19745,58313,11333,46980,Kerala,Covishield
27956,47934,75890,37292,38598,Haryana,Covishield
25651,7037,32688,25229,7459,Delhi,Covishield
15734,37692,53426,28364,25062,Telengana,Covishield
28557,36496,65053,59185,5868,Rajasthan,Covishield
20746,31843,52589,35120,17469,Delhi,Covishield
35105,7372,42477,38497,3980,Haryana,Covishield
24646,23863,48509,38828,9681,Kerala,Covishield
3426,43885,47311,25043,22268,Rajasthan,Covishield
49462,16097,65559,65541,18,Telengana,Covishield
46952,45126,92078,67702,24376,Uttar Pradesh,Covishield
24686,37353,62039,54383,7656,Delhi,Covishield
8133,3226,11359,6755,4604,Haryana,Covishield
40956,24240,65196,25491,39705,Kerala,Covishield
34059,35192,69251,19591,49660,Rajasthan,Covishield
12860,45936,58796,13013,45783,Uttar Pradesh,Covishield
17374,23020,40394,36259,4135,Telengana,Covishield
32974,44385,77359,25408,51951,Kerala,Covishield
21497,14810,36307,17593,18714,Uttar Pradesh,Covishield
4580,27468,32048,15528,16520,Ladakh,Covishield
9186,16860,26046,22659,3387,Telengana,Covishield
45193,15331,60524,59735,789,Tamil Nadu,Covishield
34320,32069,66389,22818,43571,Delhi,Covishield
45828,31716,77544,33235,44309,Haryana,Covishield
17235,32762,49997,48907,1090,Rajasthan,Covishield
14478,30169,44647,35995,8652,Ladakh,Covishield
3168,49322,52490,16117,36373,Telengana,Covishield
15553,30034,45587,12724,32863,Tamil Nadu,Covishield
6912,9505,16417,8043,8374,Rajasthan,Covishield
32438,39005,71443,39876,31567,Kerala,Covishield
41598,33939,75537,44377,31160,Haryana,Covishield
41678,37555,79233,9938,69295,Delhi,Covishield
20488,14875,35363,6361,29002,Uttar Pradesh,Covishield
36358,36871,73229,13954,59275,Ladakh,Covishield
28596,8823,37419,18481,18938,Karnataka,Covishield
31517,43053,74570,55509,19061,Kerala,Covishield
9476,45049,54525,38231,16294,Maharashtra,Covishield
14253,11494,25747,6320,19427,Punjab,Covishield
22865,42607,65472,27381,38091,Rajasthan,Covishield
27658,35358,63016,30122,32894,Tamil Nadu,Covishield
6884,27123,34007,19978,14029,Telengana,Covishield
34340,41658,75998,59196,16802,Jammu and Kashmir,Covishield
40187,45534,85721,44520,41201,Uttar Pradesh,Covishield
16497,13311,29808,7911,21897,Haryana,Covishield
5809,48301,54110,25652,28458,Delhi,Covishield
1747,5054,6801,5158,1643,Uttar Pradesh,Covishield
38394,25921,64315,5927,58388,Ladakh,Covishield
31115,22354,53469,8449,45020,Delhi,Covishield
6466,29299,35765,5577,30188,Haryana,Covishield
7041,29956,36997,32557,4440,Karnataka,Covishield
44760,5940,50700,10785,39915,Kerala,Covishield
7217,21693,28910,20545,8365,Maharashtra,Covishield
5336,5562,10898,8939,1959,Punjab,Covishield
6208,43891,50099,9448,40651,Rajasthan,Covishield
23385,37204,60589,37356,23233,Tamil Nadu,Covishield
40116,12540,52656,31043,21613,Telengana,Covishield
14181,22236,36417,20144,16273,Jammu and Kashmir,Covishield
14735,30246,44981,39627,5354,Maharashtra,Covishield
26561,2745,29306,12962,16344,Delhi,Covishield
13797,23520,37317,28602,8715,Haryana,Covishield
11177,41134,52311,10456,41855,Kerala,Covishield
15127,29554,44681,31963,12718,Rajasthan,Covishield
12199,21227,33426,18477,14949,Telengana,Covishield
3463,49536,52999,39849,13150,Uttar Pradesh,Covishield
47592,29711,77303,24930,52373,Ladakh,Covishield
35184,17879,53063,45696,7367,Tamil Nadu,Covishield
28091,24890,52981,10279,42702,Jammu and Kashmir,Covishield
37136,38130,75266,72019,3247,Punjab,Covishield
34393,32265,66658,42457,24201,Karnataka,Covishield
40115,45813,85928,77464,8464,Delhi,Covishield
21285,38673,59958,59465,493,Haryana,Covishield
39221,13760,52981,40232,12749,Kerala,Covishield
36923,6178,43101,36358,6743,Rajasthan,Covishield
31252,26857,58109,48269,9840,Telengana,Covishield
34606,1940,36546,18987,17559,Uttar Pradesh,Covishield
47071,27437,74508,11907,62601,Ladakh,Covishield
43846,8376,52222,11384,40838,Tamil Nadu,Covishield
31264,37058,68322,23517,44805,Jammu and Kashmir,Covishield
3911,7037,10948,8384,2564,Punjab,Covishield
5499,27458,32957,21996,10961,Karnataka,Covishield
33484,10696,44180,24009,20171,Maharashtra,Covishield
7029,28959,35988,26029,9959,Andhra Pradesh,Covishield
11226,33908,45134,33019,12115,Delhi,Covishield
34959,32369,67328,44519,22809,Haryana,Covishield
2778,37873,40651,31723,8928,Kerala,Covishield
26985,5169,32154,26058,6096,Rajasthan,Covishield
42778,45617,88395,15324,73071,Telengana,Covishield
23801,49330,73131,12016,61115,Uttar Pradesh,Covishield
46264,27305,73569,66698,6871,Ladakh,Covishield
33590,36512,70102,11538,58564,Tamil Nadu,Covishield
23417,45039,68456,66184,2272,Jammu and Kashmir,Covishield
49045,9690,58735,19344,39391,Punjab,Covishield
37438,43260,80698,66981,13717,Karnataka,Covishield
46928,24885,71813,6251,65562,Maharashtra,Covishield
17388,4384,21772,7789,13983,Andhra Pradesh,Covishield
7794,16668,24462,11360,13102,Delhi,Covishield
19317,2742,22059,12128,9931,Haryana,Covishield
25987,23849,49836,35045,14791,Kerala,Covishield
43821,13627,57448,30589,26859,Rajasthan,Covishield
33873,6105,39978,39414,564,Telengana,Covishield
30490,32415,62905,6598,56307,Uttar Pradesh,Covishield
46273,15181,61454,36737,24717,Ladakh,Covishield
42106,22286,64392,11257,53135,Tamil Nadu,Covishield
30507,2346,32853,14653,18200,Jammu and Kashmir,Covishield
38796,12513,51309,17700,33609,Punjab,Covishield
32652,38720,71372,37071,34301,Karnataka,Covishield
49037,36806,85843,30743,55100,Maharashtra,Covishield
49689,34928,84617,62310,22307,Andhra Pradesh,Covishield
10402,26707,37109,35158,1951,Andhra Pradesh,Covishield
10630,32199,42829,32490,10339,Delhi,Covishield
11889,46116,58005,32985,25020,Haryana,Covishield
11763,36610,48373,41000,7373,Karnataka,Covishield
39509,39000,78509,72051,6458,Kerala,Covishield
14926,48718,63644,61810,1834,Maharashtra,Covishield
19362,28108,47470,39837,7633,Punjab,Covishield
13084,45093,58177,6703,51474,Rajasthan,Covishield
36683,41658,78341,28478,49863,Tamil Nadu,Covishield
46261,30172,76433,73253,3180,Telengana,Covishield
16077,43559,59636,21930,37706,Jammu and Kashmir,Covishield
17919,37957,55876,33317,22559,Ladakh,Covishield
24845,5854,30699,11195,19504,Uttar Pradesh,Covishield
34446,12174,46620,12288,34332,Uttarakhand,Covishield
26449,13810,40259,38801,1458,Andhra Pradesh,Covishield
33027,1641,34668,33122,1546,Delhi,Covishield
14493,28532,43025,24455,18570,Haryana,Covishield
10624,16657,27281,13934,13347,Karnataka,Covishield
30188,27253,57441,6586,50855,Kerala,Covishield
9668,22799,32467,23666,8801,Maharashtra,Covishield
19634,10337,29971,6225,23746,Odisha,Covishield
7185,10312,17497,9611,7886,Punjab,Covishield
13584,9227,22811,17374,5437,Rajasthan,Covishield
19737,2348,22085,16592,5493,Tamil Nadu,Covishield
40384,35556,75940,41490,34450,Telengana,Covishield
35106,31960,67066,29997,37069,Jammu and Kashmir,Covishield
